	Unnamed: 0	Model	Strategy	Instance	Acc	F1
280	280	RoBERTa-base	bertKM	100	0.336	0.172
281	281	RoBERTa-base	CAL	100	0.358	0.226
282	282	RoBERTa-large	CAL	100	0.340	0.181
283	283	RoBERTa-base	CAL	100	0.344	0.194
284	284	BERT-large	Density	100	0.333	0.167
285	285	BERT-large	CAL	100	0.333	0.167
286	286	BERT-large	CAL	100	0.333	0.167
287	287	BERT-large	BADGE	100	0.333	0.167
288	288	BERT-large	CAL	100	0.333	0.167
289	289	BERT-large	bertKM	100	0.336	0.171
290	290	BERT-large	CAL	100	0.333	0.167
291	291	BERT-large	ALPS	100	0.331	0.174
292	292	BERT-large	Entropy	100	0.336	0.172
293	293	BERT-large	CAL	100	0.333	0.167
294	294	BERT-large	CAL	100	0.333	0.167
295	295	BERT-large	CAL	100	0.336	0.172
296	296	BERT-large	CAL	100	0.338	0.176
297	297	DeBERTa-base	CAL	100	0.333	0.167
298	298	DeBERTa-base	CAL	100	0.336	0.171
299	299	DeBERTa-base	Density	100	0.333	0.167
300	300	DeBERTa-base	CAL	100	0.333	0.167
301	301	DeBERTa-base	CAL	100	0.333	0.167
302	302	DeBERTa-base	BADGE	100	0.333	0.167
303	303	DeBERTa-base	CAL	100	0.333	0.167
304	304	DeBERTa-base	bertKM	100	0.333	0.167
305	305	DeBERTa-base	CAL	100	0.333	0.167
306	306	DeBERTa-base	ALPS	100	0.333	0.167
307	307	DeBERTa-base	Entropy	100	0.333	0.167
308	308	DeBERTa-base	CAL	100	0.333	0.167
309	309	DeBERTa-base	CAL	100	0.333	0.167
310	310	DeBERTa-base	CAL	100	0.333	0.167
311	311	BERT-large	CAL	100	0.333	0.167
312	312	BERT-large	CAL	100	0.333	0.168
313	313	BERT-base	CAL	100	0.333	0.167
314	314	BERT-base	CAL	100	0.333	0.167
315	315	RoBERTa-base	CAL	100	0.356	0.224
316	316	RoBERTa-large	CAL	100	0.333	0.167
317	317	RoBERTa-large	CAL	100	0.340	0.181
318	318	RoBERTa-large	Density	100	0.331	0.166
319	319	RoBERTa-large	CAL	100	0.333	0.167
320	320	RoBERTa-large	CAL	100	0.333	0.167
321	321	RoBERTa-large	BADGE	100	0.336	0.172
322	322	RoBERTa-large	CAL	100	0.333	0.171
323	323	RoBERTa-large	bertKM	100	0.333	0.167
324	324	RoBERTa-large	CAL	100	0.333	0.168
325	325	RoBERTa-large	ALPS	100	0.333	0.168
326	326	RoBERTa-large	Entropy	100	0.338	0.176
327	327	RoBERTa-large	CAL	100	0.333	0.167
328	328	RoBERTa-base	CAL	100	0.333	0.167
329	329	RoBERTa-large	CAL	100	0.331	0.170
330	330	BERT-base	CAL	100	0.333	0.167
331	331	BERT-base	CAL	100	0.333	0.167
332	332	BERT-base	Density	100	0.333	0.167
333	333	BERT-base	CAL	100	0.333	0.167
334	334	BERT-base	CAL	100	0.333	0.167
335	335	BERT-base	BADGE	100	0.333	0.167
336	336	BERT-base	CAL	100	0.333	0.167
337	337	DeBERTa-large	CAL	100	0.344	0.190
338	338	BERT-base	CAL	100	0.333	0.167
339	339	BERT-base	ALPS	100	0.333	0.167
340	340	BERT-base	Entropy	100	0.333	0.167
341	341	BERT-base	CAL	100	0.333	0.167
342	342	BERT-base	CAL	100	0.333	0.167
343	343	RoBERTa-large	CAL	100	0.333	0.167
344	344	BERT-base	bertKM	100	0.333	0.167
345	345	DeBERTa-base	CAL	100	0.333	0.167
346	346	DeBERTa-large	Entropy	100	0.400	0.288
347	347	DeBERTa-large	CAL	100	0.333	0.167
348	348	DeBERTa-large	BADGE	100	0.336	0.172
349	349	DeBERTa-large	CAL	100	0.333	0.167
350	350	DeBERTa-large	CAL	100	0.333	0.167
351	351	DeBERTa-large	CAL	100	0.333	0.167
352	352	DeBERTa-large	CAL	100	0.333	0.167
353	353	DeBERTa-large	ALPS	100	0.358	0.216
354	354	DeBERTa-large	CAL	100	0.336	0.171
355	355	DeBERTa-large	Density	100	0.333	0.167
356	356	DeBERTa-large	CAL	100	0.333	0.167
357	357	DeBERTa-large	CAL	100	0.333	0.168
358	358	DeBERTa-large	CAL	100	0.340	0.181
359	359	DeBERTa-large	bertKM	100	0.396	0.280
360	360	BERT-base	CAL	110	0.333	0.167
361	361	BERT-large	CAL	110	0.336	0.176
362	362	DeBERTa-base	CAL	110	0.336	0.176
363	363	DeBERTa-base	CAL	110	0.333	0.167
364	364	DeBERTa-large	CAL	110	0.333	0.167
365	365	RoBERTa-large	CAL	110	0.333	0.167
366	366	DeBERTa-base	ALPS	110	0.333	0.167
367	367	DeBERTa-base	CAL	110	0.333	0.167
368	368	RoBERTa-base	BADGE	110	0.364	0.231
369	369	DeBERTa-large	Entropy	110	0.542	0.459
370	370	RoBERTa-large	Density	110	0.331	0.166
371	371	DeBERTa-base	Density	110	0.333	0.167
372	372	DeBERTa-base	BADGE	110	0.333	0.167
373	373	DeBERTa-large	CAL	110	0.336	0.171
374	374	DeBERTa-large	CAL	110	0.382	0.259
375	375	RoBERTa-large	ALPS	110	0.333	0.168
376	376	RoBERTa-large	CAL	110	0.331	0.189
377	377	DeBERTa-base	Entropy	110	0.333	0.167
378	378	RoBERTa-large	CAL	110	0.333	0.167
379	379	RoBERTa-base	CAL	110	0.387	0.271
380	380	BERT-base	CAL	110	0.333	0.167
381	381	BERT-large	CAL	110	0.338	0.177
382	382	RoBERTa-large	CAL	110	0.333	0.167
383	383	BERT-large	CAL	110	0.333	0.167
384	384	BERT-large	CAL	110	0.333	0.167
385	385	DeBERTa-base	CAL	110	0.333	0.167
386	386	DeBERTa-large	BADGE	110	0.362	0.223
387	387	BERT-large	BADGE	110	0.333	0.167
388	388	DeBERTa-base	CAL	110	0.336	0.171
389	389	RoBERTa-large	CAL	110	0.333	0.167
390	390	BERT-large	Density	110	0.333	0.167
