	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
298	298	DeBERTa-base	CAL	100	0.369	0.249	
299	299	DeBERTa-base	Density	100	0.331	0.168	
300	300	DeBERTa-base	CAL	100	0.391	0.301	
301	301	DeBERTa-base	CAL	100	0.431	0.347	
302	302	DeBERTa-base	BADGE	100	0.407	0.335	
303	303	DeBERTa-base	CAL	100	0.418	0.339	
304	304	DeBERTa-base	bertKM	100	0.411	0.337	
305	305	DeBERTa-base	CAL	100	0.373	0.265	
306	306	DeBERTa-base	ALPS	100	0.431	0.377	
307	307	DeBERTa-base	Entropy	100	0.382	0.270	
308	308	DeBERTa-base	CAL	100	0.347	0.204	
309	309	DeBERTa-base	CAL	100	0.407	0.348	
310	310	DeBERTa-base	CAL	100	0.393	0.316	
311	311	BERT-large	CAL	100	0.371	0.252	
312	312	BERT-large	CAL	100	0.389	0.326	
313	313	BERT-base	CAL	100	0.338	0.200	
314	314	BERT-base	CAL	100	0.327	0.262	
315	315	RoBERTa-base	CAL	100	0.407	0.334	
316	316	RoBERTa-large	CAL	100	0.344	0.211	
317	317	RoBERTa-large	CAL	100	0.340	0.181	
318	318	RoBERTa-large	Density	100	0.331	0.168	
319	319	RoBERTa-large	CAL	100	0.376	0.264	
320	320	RoBERTa-large	CAL	100	0.431	0.346	
321	321	RoBERTa-large	BADGE	100	0.384	0.358	
322	322	RoBERTa-large	CAL	100	0.360	0.238	
323	323	RoBERTa-large	bertKM	100	0.447	0.370	
324	324	RoBERTa-large	CAL	100	0.433	0.391	
325	325	RoBERTa-large	ALPS	100	0.389	0.309	
326	326	RoBERTa-large	Entropy	100	0.438	0.381	
327	327	RoBERTa-large	CAL	100	0.378	0.262	
328	328	RoBERTa-base	CAL	100	0.444	0.419	
329	329	RoBERTa-large	CAL	100	0.444	0.372	
330	330	BERT-base	CAL	100	0.336	0.176	
331	331	BERT-base	CAL	100	0.331	0.174	
332	332	BERT-base	Density	100	0.336	0.172	
333	333	BERT-base	CAL	100	0.344	0.241	
334	334	BERT-base	CAL	100	0.373	0.278	
335	335	BERT-base	BADGE	100	0.362	0.275	
336	336	BERT-base	CAL	100	0.384	0.301	
337	337	DeBERTa-large	CAL	100	0.538	0.516	
338	338	BERT-base	CAL	100	0.333	0.182	
339	339	BERT-base	ALPS	100	0.351	0.232	
340	340	BERT-base	Entropy	100	0.338	0.193	
341	341	BERT-base	CAL	100	0.333	0.195	
342	342	BERT-base	CAL	100	0.356	0.237	
343	343	RoBERTa-large	CAL	100	0.349	0.268	
344	344	BERT-base	bertKM	100	0.331	0.188	
